date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:40	18247/18247	---MCZ	200	added ('OK')	text/html	etag:W/%225e56287f-4747%22	http://wiwadi.exsythemes.com/index.html	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/index.html	(from )
16:55:41	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2019%20Jul%202020%2015:55:32%20GMT	http://wiwadi.exsythemes.com/robots.txt		(from )
16:55:41	8683/8683	---M--	200	added ('OK')	image/png	etag:%225ccabe02-21eb%22	http://wiwadi.exsythemes.com/static/img/favicon.png	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/favicon.png	(from http://wiwadi.exsythemes.com/index.html)
16:55:41	12257/12257	---MCZ	200	added ('OK')	text/css	etag:W/%225ca359ce-2fe1%22	http://wiwadi.exsythemes.com/static/css/fontello-icon.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/fontello-icon.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:41	9069/9069	---MCZ	200	added ('OK')	text/css	etag:W/%225ca359ce-236d%22	http://wiwadi.exsythemes.com/static/css/linea-icon.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/linea-icon.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:42	3130/3130	---MCZ	200	added ('OK')	text/css	etag:W/%225ca359ce-c3a%22	http://wiwadi.exsythemes.com/static/css/simplelightbox.min.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/simplelightbox.min.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:42	124707/124707	---MCZ	200	added ('OK')	text/css	etag:W/%225ca359ce-1e723%22	http://wiwadi.exsythemes.com/static/css/bootstrap.min.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/bootstrap.min.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:42	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%225ca359ce-11a43%22	http://wiwadi.exsythemes.com/static/css/animate.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/animate.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:42	9853/9853	---MCZ	200	added ('OK')	text/css	etag:W/%225ca359ce-267d%22	http://wiwadi.exsythemes.com/static/css/flipclock.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/flipclock.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:43	34556/34556	---MCZ	200	added ('OK')	text/css	etag:W/%225cb05dab-86fc%22	http://wiwadi.exsythemes.com/static/css/main.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/main.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:43	1649/1649	---M--	200	added ('OK')	text/css	etag:%225cb05895-671%22	http://wiwadi.exsythemes.com/static/css/color-1.css	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/css/color-1.css	(from http://wiwadi.exsythemes.com/index.html)
16:55:44	14510/14510	---M--	200	added ('OK')	image/png	etag:%225ca35c50-38ae%22	http://wiwadi.exsythemes.com/static/img/logo.png	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/logo.png	(from http://wiwadi.exsythemes.com/index.html)
16:55:53	56752/56752	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-ddb0%22	http://wiwadi.exsythemes.com/static/img/gallery/store-2.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/store-2.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:55:57	79217/79217	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-13571%22	http://wiwadi.exsythemes.com/static/img/gallery/store-1.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/store-1.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:56:02	56396/56396	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-dc4c%22	http://wiwadi.exsythemes.com/static/img/gallery/store-3.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/store-3.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:56:07	64691/64691	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-fcb3%22	http://wiwadi.exsythemes.com/static/img/gallery/store-4.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/store-4.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:56:30	141125/141125	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-22745%22	http://wiwadi.exsythemes.com/static/img/gallery/gallery-img2.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/gallery-img2.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:56:35	198961/198961	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-30931%22	http://wiwadi.exsythemes.com/static/img/gallery/gallery-img1.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/gallery-img1.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:56:50	414924/414924	---M--	200	added ('OK')	image/jpeg	etag:%225ca359cf-654cc%22	http://wiwadi.exsythemes.com/static/img/girl.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/girl.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:56:51	419503/419503	---M--	200	added ('OK')	image/jpeg	etag:%225ca359cf-666af%22	http://wiwadi.exsythemes.com/static/img/boy.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/boy.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:57:03	199178/199178	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-30a0a%22	http://wiwadi.exsythemes.com/static/img/gallery/gallery-img3.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/gallery-img3.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:57:09	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca359d0-152b5%22	http://wiwadi.exsythemes.com/static/js/jquery-3.1.1.min.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/jquery-3.1.1.min.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:09	217154/217154	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-35042%22	http://wiwadi.exsythemes.com/static/img/gallery/gallery-img4.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/gallery-img4.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:57:11	10199/10199	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca359d0-27d7%22	http://wiwadi.exsythemes.com/static/js/jquery.arctext.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/jquery.arctext.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:11	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca359d0-90b5%22	http://wiwadi.exsythemes.com/static/js/bootstrap.min.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/bootstrap.min.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:12	145768/145768	---M--	200	added ('OK')	image/jpeg	etag:%225ca359d0-23968%22	http://wiwadi.exsythemes.com/static/img/gallery/gallery-img5.jpg	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/img/gallery/gallery-img5.jpg	(from http://wiwadi.exsythemes.com/index.html)
16:57:12	8691/8691	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca359d0-21f3%22	http://wiwadi.exsythemes.com/static/js/simple-lightbox.min.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/simple-lightbox.min.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:13	9110/9110	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca359d0-2396%22	http://wiwadi.exsythemes.com/static/js/infobox.min.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/infobox.min.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:13	1188/1188	---M--	200	added ('OK')	application/javascript	etag:%225ca359d1-4a4%22	http://wiwadi.exsythemes.com/static/js/switcher/cookie.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/switcher/cookie.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:13	11080/11080	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ccbef9b-2b48%22	http://wiwadi.exsythemes.com/static/js/main.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/main.js	(from http://wiwadi.exsythemes.com/index.html)
16:57:13	54855/54855	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca359d0-d647%22	http://wiwadi.exsythemes.com/static/js/flipclock.js	C:/Users/Hp/Desktop/wedding/wiwadi.exsythemes.com/static/js/flipclock.js	(from http://wiwadi.exsythemes.com/index.html)
